STATE,CONSTITUENCY,WINNER,PARTY,SYMBOL,GENDER,CRIMINAL CASES,AGE,CATEGORY,EDUCATION,TOTAL VOTES,TOTAL ELECTORS,ASSETS,LIABILITIES
Jammu & Kashmir,BARAMULLA,0,18,Table,1,0,48.0,1,2,4967,1317738,10050737,6786855
West Bengal,BARASAT,1,10,Flowers and Grass,2,2,60.0,1,2,648444,1718252,40531018,1496059
West Bengal,BARASAT,0,1,Lotus,1,0,68.0,1,8,538275,1718252,4949682,3370182
West Bengal,BARASAT,0,48,Lion,1,0,61.0,2,1,124068,1718252,11890602,0
West Bengal,BARASAT,0,3,Hand,2,0,57.0,1,4,37277,1718252,33601000,0
West Bengal,BARDHAMAN DURGAPUR,1,1,Lotus,1,0,67.0,1,8,598376,1733578,26521750,744076
West Bengal,BARDHAMAN DURGAPUR,0,10,Flowers and Grass,2,0,73.0,1,2,595937,1733578,136680993,0
West Bengal,BARDHAMAN DURGAPUR,0,8,"Hammer, Sickle and Star",1,2,50.0,1,2,161329,1733578,4267888,0
West Bengal,BARDHAMAN DURGAPUR,0,3,Hand,1,0,39.0,1,5,38516,1733578,16662068,89517
West Bengal,BARDHAMAN PURBA,1,10,Flowers and Grass,1,0,61.0,2,8,640834,1698089,20371283,148598
West Bengal,BARDHAMAN PURBA,0,1,Lotus,1,1,61.0,2,2,551523,1698089,30401786,0
West Bengal,BARDHAMAN PURBA,0,8,"Hammer, Sickle and Star",1,2,58.0,2,2,175920,1698089,5892873,2811235
West Bengal,BARDHAMAN PURBA,0,3,Hand,1,0,37.0,2,2,38472,1698089,2437669,513425
Gujarat,BARDOLI,1,1,Lotus,1,0,49.0,3,5,742273,1826526,28350217,3676869
Gujarat,BARDOLI,0,3,Hand,1,0,53.0,3,8,526826,1826526,69345867,0
Uttar Pradesh,BAREILLY,1,1,Lotus,1,0,70.0,1,8,565270,1797655,126356142,13055209
Uttar Pradesh,BAREILLY,0,12,Bicycle,1,2,63.0,1,1,397988,1797655,31857876,0
Uttar Pradesh,BAREILLY,0,3,Hand,1,1,61.0,3,8,74206,1797655,1477686028,46548771
Odisha,BARGARH,1,1,Lotus,1,0,59.0,1,2,581245,1596290,11673429,0
Odisha,BARGARH,0,37,Conch,1,0,69.0,1,8,517306,1596290,90051634,3227600
Odisha,BARGARH,0,3,Hand,1,5,51.0,1,4,109417,1596290,51024740,13451459
Rajasthan,BARMER,1,1,Lotus,1,2,45.0,1,4,846526,1941231,2402250,0
Rajasthan,BARMER,0,3,Hand,1,0,55.0,1,2,522718,1941231,45063664,0
Rajasthan,BARMER,0,36,Cot,1,0,39.0,2,11,16699,1941231,295500,0
Assam,BARPETA,1,3,Hand,1,0,44.0,1,2,645173,1685149,7398753,2703693
Assam,BARPETA,0,49,Elephant,1,1,66.0,1,8,504866,1685149,23701000,1032000
Assam,BARPETA,0,50,Lock and Key,1,2,44.0,1,3,248667,1685149,3389683,430436
Assam,BARPETA,0,10,Flowers and Grass,1,0,65.0,1,4,20466,1685149,1360000,0
West Bengal,BARRACKPORE,1,1,Lotus,1,24,57.0,1,6,472994,1436431,8055691,1100000
West Bengal,BARRACKPORE,0,10,Flowers and Grass,1,0,68.0,1,2,458137,1436431,66207289,15925213
West Bengal,BARRACKPORE,0,8,"Hammer, Sickle and Star",2,0,47.0,1,4,117456,1436431,57140,0
West Bengal,BARRACKPORE,0,3,Hand,1,0,44.0,1,7,15816,1436431,2809421,0
West Bengal,BASIRHAT,1,10,Flowers and Grass,2,0,28.0,1,1,782078,1678357,29088391,16881608
West Bengal,BASIRHAT,0,1,Lotus,1,14,42.0,1,2,431709,1678357,5399604,0
West Bengal,BASIRHAT,0,3,Hand,1,1,51.0,1,2,104183,1678357,2294651,0
West Bengal,BASIRHAT,0,8,Ears of Corn And Sickle,1,0,70.0,1,4,68316,1678357,6037297,0
Chhattisgarh,BASTAR,1,3,Hand,1,1,38.0,3,2,402527,1379122,7721293,1801236
Chhattisgarh,BASTAR,0,1,Lotus,1,2,46.0,3,6,363545,1379122,16073844,141005
Chhattisgarh,BASTAR,0,8,Ears of Corn And Sickle,1,0,42.0,3,2,38395,1379122,1058000,0
Chhattisgarh,BASTAR,0,4,Elephant,1,0,55.0,3,7,30449,1379122,547094,0
Chhattisgarh,BASTAR,0,19,Bow & Arrow,1,0,38.0,3,11,13930,1379122,13538941,0
Chhattisgarh,BASTAR,0,7,Coat,1,0,29.0,3,2,12421,1379122,3444229,600000
Chhattisgarh,BASTAR,0,51,Plastering Trowel,1,0,40.0,3,1,9912,1379122,1726000,0
Uttar Pradesh,BASTI,1,1,Lotus,1,5,45.0,1,2,471162,1845223,8662344,322490
Uttar Pradesh,BASTI,0,4,Elephant,1,3,65.0,1,5,440808,1845223,66059943,1166159
Uttar Pradesh,BASTI,0,3,Hand,1,0,50.0,1,4,86920,1845223,52812489,0
Uttar Pradesh,BASTI,0,17,Walking Stick,1,0,42.0,1,1,11971,1845223,2026650,0
Punjab,BATHINDA,1,21,Scales,2,0,52.0,1,6,492824,1621671,2179919870,954852600
Punjab,BATHINDA,0,3,Hand,1,0,41.0,1,6,471052,1621671,92906438,10422457
Punjab,BATHINDA,0,20,Broom,2,0,33.0,1,2,134398,1621671,10604926,345000
Punjab,BATHINDA,0,52,Key,1,1,54.0,1,1,38199,1621671,598746355,13836396
Maharashtra,BEED,1,1,Lotus,2,1,36.0,1,2,678175,2045405,4654000,1622000
Maharashtra,BEED,0,5,Clock,1,1,48.0,1,4,509807,2045405,160776182,8488691
Maharashtra,BEED,0,6,Cup & Saucer,1,1,62.0,1,2,92139,2045405,4654000,1622000
Maharashtra,BEED,0,18,SHIP,1,1,57.0,1,2,16792,2045405,110000,200000
Bihar,BEGUSARAI,1,1,Lotus,1,6,66.0,1,4,692193,1958382,83024577,12236000
Bihar,BEGUSARAI,0,8,Ears of Corn And Sickle,1,5,32.0,1,3,269976,1958382,557848,0
Bihar,BEGUSARAI,0,30,Hurricane Lamp,1,1,59.0,1,3,198233,1958382,15483136,1446000
Bihar,BEGUSARAI,0,18,Cup & Saucer,1,0,27.0,1,1,18638,1958382,2017370,0
Karnataka,BELGAUM,1,1,Lotus,1,0,63.0,1,8,761991,1779350,366164525,198479638
Karnataka,BELGAUM,0,3,Hand,1,0,69.0,1,8,370687,1779350,315866105,225214094
Karnataka,BELLARY,1,1,Lotus,1,0,67.0,3,11,616388,1751734,40107878,250000
Karnataka,BELLARY,0,3,Hand,1,0,65.0,3,8,560681,1751734,108217325,22231164
Odisha,BERHAMPUR,1,37,Conch,1,0,68.0,1,6,443843,1502455,11716989,0
Odisha,BERHAMPUR,0,1,Lotus,1,4,44.0,1,8,348999,1502455,31044317,1650465
Odisha,BERHAMPUR,0,3,Hand,1,1,52.0,1,4,142632,1502455,360000000,8000
Madhya Pradesh,BETUL,1,1,Lotus,1,0,55.0,3,2,811248,1737437,15413532,875803
Madhya Pradesh,BETUL,0,3,Hand,1,0,31.0,3,8,451007,1737437,113554,0
Madhya Pradesh,BETUL,0,4,Elephant,1,0,44.0,3,9,23573,1737437,682000,0
Uttar Pradesh,BHADOHI,1,1,Lotus,1,6,44.0,1,6,510029,1942514,94089148,21696413
Uttar Pradesh,BHADOHI,0,4,Elephant,1,5,59.0,1,4,466414,1942514,124899017,54880849
Uttar Pradesh,BHADOHI,0,3,Hand,1,2,59.0,1,6,25604,1942514,82444969,0
Odisha,BHADRAK,1,37,Conch,2,0,42.0,2,4,513045,1661661,39417891,8958149
Odisha,BHADRAK,0,1,Lotus,1,0,49.0,2,2,484254,1661661,47223493,12150231
Odisha,BHADRAK,0,3,Hand,2,0,42.0,2,2,207710,1661661,23838000,2384493
Bihar,BHAGALPUR,1,46,Arrow,1,0,41.0,1,7,618254,1823820,6801126,5364747
Bihar,BHAGALPUR,0,30,Hurricane Lamp,1,0,43.0,1,1,340624,1823820,30364808,2180647
Maharashtra,BHANDARA - GONDIYA,1,1,Lotus,1,2,50.0,1,5,650243,1811556,627543615,19861338
Maharashtra,BHANDARA - GONDIYA,0,5,Clock,1,0,64.0,1,6,452849,1811556,57462818,2050134
Maharashtra,BHANDARA - GONDIYA,0,4,Elephant,2,0,37.0,1,8,52659,1811556,36343297,3616000
Maharashtra,BHANDARA - GONDIYA,0,6,Cup & Saucer,1,0,68.0,1,8,45842,1811556,5995146,60000
Maharashtra,BHANDARA - GONDIYA,0,18,Tractor Chalata Kisan,1,2,56.0,1,5,13145,1811556,32513000,7500000
Rajasthan,BHARATPUR,1,1,Lotus,2,0,39.0,2,7,707992,1943794,3117190,0
Rajasthan,BHARATPUR,0,3,Hand,1,0,59.0,2,8,389593,1943794,133045865,28346352
Rajasthan,BHARATPUR,0,4,Elephant,1,0,56.0,2,8,31615,1943794,15896000,1265000
Gujarat,BHARUCH,1,1,Lotus,1,0,61.0,3,2,637795,1564519,6835957,0
Gujarat,BHARUCH,0,3,Hand,1,3,37.0,1,1,303581,1564519,3343699,0
Gujarat,BHARUCH,0,47,Auto- Rickshaw,1,6,73.0,3,6,144083,1564519,20146320,4595420
Gujarat,BHARUCH,0,18,Air Conditioner,1,0,40.0,1,11,15110,1564519,1035000,0
Gujarat,BHAVNAGAR,1,1,Lotus,2,0,55.0,1,8,661273,1768297,17753161,3689036
Gujarat,BHAVNAGAR,0,3,Hand,1,0,50.0,1,6,331754,1768297,75961835,5595198
Rajasthan,BHILWARA,1,1,Lotus,1,0,62.0,1,4,938160,1997328,232703276,1827380
Rajasthan,BHILWARA,0,3,Hand,1,1,52.0,1,1,326160,1997328,74900711,24650224
Rajasthan,BHILWARA,0,4,Elephant,1,1,40.0,1,11,15627,1997328,6202833,1250000
Rajasthan,BHILWARA,0,53,Pressure Cooker,1,0,42.0,1,4,13148,1997328,1089730,0
Madhya Pradesh,BHIND,1,1,Lotus,2,0,45.0,2,2,527694,1765334,51108660,13400000
Madhya Pradesh,BHIND,0,3,Hand,1,0,28.0,2,8,327809,1765334,746723,0
Madhya Pradesh,BHIND,0,4,Elephant,1,0,67.0,2,6,66613,1765334,12571690,540000
Maharashtra,BHIWANDI,1,1,Lotus,1,0,58.0,1,4,523583,1890100,418850781,5645459
Maharashtra,BHIWANDI,0,3,Hand,1,1,62.0,1,1,367254,1890100,324522111,964774
Maharashtra,BHIWANDI,0,6,Cup & Saucer,1,0,69.0,1,3,51455,1890100,50883853,0
Maharashtra,BHIWANDI,0,18,Ring,1,2,27.0,1,1,20697,1890100,834000,0
Haryana,BHIWANI-MAHENDRAGARH,1,1,Lotus,1,0,64.0,1,4,736699,1654317,60642205,240000
Haryana,BHIWANI-MAHENDRAGARH,0,3,Hand,2,0,43.0,1,8,292236,1654317,1016118000,151084000
Haryana,BHIWANI-MAHENDRAGARH,0,54,Chappals,2,0,30.0,1,2,84956,1654317,91521178,45967727
Haryana,BHIWANI-MAHENDRAGARH,0,55,Auto- Rickshaw,1,0,46.0,1,8,20234,1654317,91465000,14367975
Telangana,BHONGIR,1,3,Hand,1,14,55.0,1,1,532795,1628033,162543845,24069129
Telangana,BHONGIR,0,2,Car,1,0,60.0,1,2,527576,1628033,237458144,42963534
Telangana,BHONGIR,0,1,Lotus,1,7,46.0,1,2,65457,1628033,323073107,49080220
Telangana,BHONGIR,0,8,Ears of Corn And Sickle,1,0,54.0,1,7,28153,1628033,15799990,7265216
Telangana,BHONGIR,0,18,Road Roller,1,0,44.0,2,10,27973,1628033,0,0
Madhya Pradesh,BHOPAL,1,1,Lotus,2,1,49.0,1,2,866482,2142861,444224,0
Madhya Pradesh,BHOPAL,0,3,Hand,1,8,71.0,1,8,501660,2142861,380727853,13972396
Odisha,BHUBANESWAR,1,1,Lotus,2,0,49.0,1,4,486991,1699678,31677600,4329959
Odisha,BHUBANESWAR,0,37,Conch,1,0,63.0,1,8,463152,1699678,92700106,270000
Odisha,BHUBANESWAR,0,8,"Hammer, Sickle and Star",1,1,71.0,1,8,23026,1699678,23686053,0
Karnataka,BIDAR,1,1,Lotus,1,1,50.0,1,8,585471,1775095,51836416,10239000
Karnataka,BIDAR,0,3,Hand,1,0,57.0,1,8,468637,1775095,123313691,7332800
Karnataka,BIDAR,0,4,Elephant,1,0,65.0,1,6,15188,1775095,10212000,0
Karnataka,BIJAPUR,1,1,Lotus,1,0,66.0,2,4,635867,1797587,504122985,1600000
Karnataka,BIJAPUR,0,34,A lady farmer carrying paddy on her head,2,0,42.0,2,3,377829,1797587,49482018,14184713
Karnataka,BIJAPUR,0,18,Ganna Kisan,1,0,33.0,2,8,23706,1797587,3226500,675000
Karnataka,BIJAPUR,0,4,Elephant,1,3,36.0,2,8,23442,1797587,2680100,0
Uttar Pradesh,BIJNOR,1,4,Elephant,1,7,53.0,1,4,561045,1664125,2499628021,1016148176
Uttar Pradesh,BIJNOR,0,1,Lotus,1,3,55.0,1,4,491104,1664125,49867061,0
Uttar Pradesh,BIJNOR,0,3,Hand,1,1,59.0,1,8,25833,1664125,130739688,0
Rajasthan,BIKANER (SC),1,1,Lotus,1,0,65.0,2,2,657743,1851628,23524459,1060314
Rajasthan,BIKANER (SC),0,3,Hand,1,0,55.0,2,4,393662,1851628,39962659,4966129
Rajasthan,BIKANER (SC),0,4,Elephant,1,0,47.0,2,11,11412,1851628,1154500,0
Chhattisgarh,BILASPUR,1,1,Lotus,1,0,51.0,1,8,634559,1876953,13544588,50000
Chhattisgarh,BILASPUR,0,3,Hand,1,4,51.0,1,8,492796,1876953,158233341,11386394
Chhattisgarh,BILASPUR,0,4,Elephant,1,0,47.0,1,1,21180,1876953,9874225,0
West Bengal,BIRBHUM,1,10,Flowers and Grass,2,0,49.0,1,4,654077,1699219,48652722,18604443
West Bengal,BIRBHUM,0,1,Lotus,1,7,63.0,1,4,565153,1699219,6559932,100000
West Bengal,BIRBHUM,0,8,"Hammer, Sickle and Star",1,0,54.0,1,3,96763,1699219,11877651,1595184
West Bengal,BIRBHUM,0,3,Hand,1,0,51.0,1,1,75546,1699219,12369362,0
West Bengal,BIRBHUM,0,56,Tractor Chalata Kisan,1,0,49.0,1,6,15171,1699219,3294000,120000
West Bengal,BISHNUPUR,1,1,Lotus,1,6,38.0,2,1,657019,1627199,8656777,1077120
West Bengal,BISHNUPUR,0,10,Flowers and Grass,1,0,39.0,2,2,578972,1627199,4642924,650000
West Bengal,BISHNUPUR,0,8,"Hammer, Sickle and Star",1,0,72.0,2,4,102615,1627199,20299997,0
West Bengal,BISHNUPUR,0,3,Hand,1,0,67.0,2,8,17932,1627199,3247596,0
Odisha,BOLANGIR,1,1,Lotus,2,0,57.0,1,4,498086,1744446,379590851,7500000
Odisha,BOLANGIR,0,37,Conch,1,0,45.0,1,4,478570,1744446,204895169,13342386
Odisha,BOLANGIR,0,3,Hand,1,0,45.0,1,2,271056,1744446,26771555,3673500
Odisha,BOLANGIR,0,7,Coat,1,0,49.0,2,8,13919,1744446,1819971,1050000
West Bengal,BOLPUR,1,10,Flowers and Grass,1,0,63.0,2,6,699171,1705073,1310691,0
West Bengal,BOLPUR,0,1,Lotus,1,0,53.0,2,2,592769,1705073,11501067,4905000
West Bengal,BOLPUR,0,8,"Hammer, Sickle and Star",1,3,61.0,2,8,91964,1705073,2320217,0
West Bengal,BOLPUR,0,3,Hand,1,0,47.0,2,4,30112,1705073,4195922,113600
West Bengal,BOLPUR,0,56,Tractor Chalata Kisan,1,0,44.0,2,4,17013,1705073,1126000,0
Uttar Pradesh,BULANDSHAHR,1,1,Lotus,1,1,42.0,2,4,681321,1787925,18728861,0
Uttar Pradesh,BULANDSHAHR,0,4,Elephant,1,28,50.0,2,1,391264,1787925,47337130,8609902
Uttar Pradesh,BULANDSHAHR,0,3,Hand,1,3,58.0,2,6,29465,1787925,13324200,360000
Maharashtra,BULDHANA,1,19,Bow and Arrow,1,3,58.0,1,1,521977,1762918,116272966,735482
Maharashtra,BULDHANA,0,5,Clock,1,1,58.0,1,8,388690,1762918,95350365,21940000
Maharashtra,BULDHANA,0,6,Cup & Saucer,1,2,57.0,1,7,172627,1762918,43855736,1730992
Bihar,BUXAR,1,1,Lotus,1,3,66.0,1,4,473053,1829373,40183612,1350667
Bihar,BUXAR,0,30,Hurricane Lamp,1,1,75.0,1,8,355444,1829373,35871242,530000
Bihar,BUXAR,0,4,Elephant,1,1,50.0,1,8,80261,1829373,9632514,265000
Bihar,BUXAR,0,17,Walking Stick,1,0,34.0,1,4,14170,1829373,695070,0
Bihar,BUXAR,0,18,Almirah,1,0,42.0,1,12,10730,1829373,0,0
Kerala,CHALAKUDY,1,3,Hand,1,4,66.0,1,4,473444,1230197,20461931,915938
Kerala,CHALAKUDY,0,8,"Hammer, Sickle and Star",1,0,71.0,1,7,341170,1230197,67456404,670000
Kerala,CHALAKUDY,0,1,Lotus,1,6,59.0,1,4,154159,1230197,21383000,5462000
Karnataka,CHAMARAJANAGAR,1,1,Lotus,1,0,71.0,2,2,568537,1686333,143804441,324909
Karnataka,CHAMARAJANAGAR,0,3,Hand,1,0,58.0,2,2,566720,1686333,92418254,2190481
Karnataka,CHAMARAJANAGAR,0,4,Elephant,1,0,42.0,2,3,87631,1686333,16580750,11600000
Uttar Pradesh,CHANDAULI,1,1,Lotus,1,0,62.0,1,3,510733,1756837,33359734,0
Uttar Pradesh,CHANDAULI,0,12,Bicycle,1,2,43.0,1,2,496774,1756837,4015011,369000
Uttar Pradesh,CHANDAULI,0,57,Dolli,2,2,52.0,1,11,22291,1756837,66018000,24777000
Uttar Pradesh,CHANDAULI,0,17,Walking Stick,1,0,32.0,1,8,18985,1756837,197703,9917
Chandigarh,CHANDIGARH,1,1,Lotus,2,0,66.0,1,2,231188,646729,474983574,6279188
Chandigarh,CHANDIGARH,0,3,Hand,1,0,70.0,1,8,184218,646729,95583235,0
Chandigarh,CHANDIGARH,0,20,Broom,1,0,78.0,1,2,13781,646729,243011000,0
Chandigarh,CHANDIGARH,0,4,Elephant,1,0,44.0,2,5,7396,646729,686891,0
NCT OF Delhi,CHANDNI CHOWK,1,1,Lotus,1,0,64.0,1,2,519055,1562283,30171897,0
NCT OF Delhi,CHANDNI CHOWK,0,3,Hand,1,0,74.0,1,4,290910,1562283,96159175,0
NCT OF Delhi,CHANDNI CHOWK,0,20,Broom,1,0,52.0,1,8,144551,1562283,204351194,737055
Maharashtra,CHANDRAPUR,1,3,Hand,1,5,43.0,1,1,559507,1910188,137455342,22752880
Maharashtra,CHANDRAPUR,0,1,Lotus,1,0,64.0,1,6,514744,1910188,18300860,45386
Maharashtra,CHANDRAPUR,0,6,Cup & Saucer,1,2,48.0,1,8,112079,1910188,19703000,6978054
Jharkhand,CHATRA,1,1,Lotus,1,0,55.0,1,2,528077,1425218,226209137,1889051
Jharkhand,CHATRA,0,3,Hand,1,0,62.0,1,4,150206,1425218,44186530,249224
Jharkhand,CHATRA,0,30,Hurricane Lamp,1,3,52.0,1,4,83425,1425218,53288310,5208407
Jharkhand,CHATRA,0,8,Ears of Corn And Sickle,1,2,40.0,1,6,22577,1425218,4518000,90000
Jharkhand,CHATRA,0,4,Elephant,1,0,36.0,1,9,18888,1425218,101166000,0
Jharkhand,CHATRA,0,18,Sewing Machine,1,0,43.0,1,4,15859,1425218,16156581,450000
Jharkhand,CHATRA,0,18,Scissors,1,0,66.0,1,9,13090,1425218,6925000,100000
Jharkhand,CHATRA,0,18,Truck,1,0,41.0,1,6,11224,1425218,84976547,58992436
Tamil Nadu,CHENNAI CENTRAL,1,25,Rising Sun,1,1,52.0,1,4,448911,1332300,116790616,0
Tamil Nadu,CHENNAI CENTRAL,0,26,Mango,1,0,41.0,1,2,147391,1332300,299512500,258028373
Tamil Nadu,CHENNAI CENTRAL,0,28,Battery Torch,2,0,54.0,1,2,92249,1332300,71905468,9490525
Tamil Nadu,CHENNAI CENTRAL,0,27,Ganna Kisan,1,0,31.0,1,2,30886,1332300,17606805,10680758
Tamil Nadu,CHENNAI CENTRAL,0,58,Gift Pack,1,3,48.0,1,5,23741,1332300,2274313,0
Tamil Nadu,CHENNAI NORTH,1,25,Rising Sun,1,0,49.0,1,2,590986,1487681,405294714,258386550
Tamil Nadu,CHENNAI NORTH,0,59,Nagara,1,6,65.0,1,1,129468,1487681,45742218,2831960
Tamil Nadu,CHENNAI NORTH,0,28,Battery Torch,1,0,62.0,1,2,103167,1487681,41590000,12497000
Tamil Nadu,CHENNAI NORTH,0,27,Ganna Kisan,2,3,33.0,1,4,60515,1487681,1157000,130000
Tamil Nadu,CHENNAI NORTH,0,18,Gift Pack,1,0,44.0,1,6,33277,1487681,14263825,0
Tamil Nadu,CHENNAI SOUTH,1,25,Rising Sun,2,0,56.0,1,3,564872,1973533,91793460,500000
Tamil Nadu,CHENNAI SOUTH,0,29,Two Leaves,1,0,31.0,1,8,302649,1973533,32896587,9621000
Tamil Nadu,CHENNAI SOUTH,0,28,Battery Torch,1,0,40.0,1,4,135465,1973533,22654934,689310
Tamil Nadu,CHENNAI SOUTH,0,27,Ganna Kisan,2,0,26.0,1,2,50222,1973533,3466760,0
Tamil Nadu,CHENNAI SOUTH,0,18,Gift Pack,1,0,55.0,1,3,29522,1973533,2375841961,18087123
Telangana,CHEVELLA,1,2,Car,1,0,54.0,1,2,528148,2443112,1634695131,197007553
Telangana,CHEVELLA,0,3,Hand,1,1,59.0,1,8,513831,2443112,8950179170,358127700
Telangana,CHEVELLA,0,1,Lotus,1,0,58.0,1,5,201960,2443112,1197313405,66870634
Madhya Pradesh,CHHINDWARA,1,3,Hand,1,0,44.0,1,4,587305,1514783,6601946757,8791712
Madhya Pradesh,CHHINDWARA,0,1,Lotus,1,0,57.0,3,6,549769,1514783,9006200,236000
Madhya Pradesh,CHHINDWARA,0,60,Battery Torch,1,2,56.0,3,2,35968,1514783,6264000,2075000
Madhya Pradesh,CHHINDWARA,0,4,Elephant,1,0,45.0,2,6,14275,1514783,3361876,0
Gujarat,CHHOTA UDAIPUR,1,1,Lotus,2,0,47.0,3,1,764445,1671253,8634660,0
Gujarat,CHHOTA UDAIPUR,0,3,Hand,1,0,53.0,3,4,386502,1671253,34721898,3769537
Gujarat,CHHOTA UDAIPUR,0,4,Elephant,1,0,48.0,3,9,14964,1671253,880000,500000
Tamil Nadu,CHIDAMBARAM,1,61,Pot,1,3,56.0,2,3,500229,1480222,9244092,394248
Tamil Nadu,CHIDAMBARAM,0,29,Two Leaves,1,0,46.0,2,2,497010,1480222,27182370,5873380
Tamil Nadu,CHIDAMBARAM,0,18,Gift Pack,1,0,55.0,2,3,62308,1480222,14672869,5800000
Tamil Nadu,CHIDAMBARAM,0,27,Ganna Kisan,1,0,35.0,2,12,37471,1480222,0,0
Tamil Nadu,CHIDAMBARAM,0,28,Battery Torch,1,0,49.0,2,5,15334,1480222,2864000,500000
Karnataka,CHIKKBALLAPUR,1,1,Lotus,1,0,76.0,1,8,745912,1808780,1153501141,0
Karnataka,CHIKKBALLAPUR,0,3,Hand,1,0,79.0,1,8,563802,1808780,234515884,104316683
Karnataka,CHIKKBALLAPUR,0,4,Elephant,1,0,65.0,1,2,23446,1808780,40844395,0
Karnataka,CHIKKBALLAPUR,0,8,"Hammer, Sickle and Star",2,3,48.0,1,1,18648,1808780,969310,0
Karnataka,CHIKKODI,1,1,Lotus,1,0,55.0,1,1,645017,1612556,344922831,195595693
Karnataka,CHIKKODI,0,3,Hand,1,0,72.0,1,6,526140,1612556,192138555,3881000
Karnataka,CHIKKODI,0,4,Elephant,1,0,49.0,2,7,15575,1612556,186398,0
Karnataka,CHITRADURGA,1,1,Lotus,1,0,62.0,2,4,626195,1760633,96197642,0
Karnataka,CHITRADURGA,0,3,Hand,1,0,64.0,2,2,546017,1760633,48222730,0
Andhra Pradesh,CHITTOOR,1,13,Ceiling Fan,1,0,68.0,2,2,686792,1566499,17355862,1341542
Andhra Pradesh,CHITTOOR,0,14,Bicycle,1,0,67.0,2,8,549521,1566499,69628816,0
Andhra Pradesh,CHITTOOR,0,3,Hand,1,0,60.0,2,8,24643,1566499,12832000,0
Andhra Pradesh,CHITTOOR,0,4,Elephant,1,4,45.0,2,5,20062,1566499,30323800,21635686
Rajasthan,CHITTORGARH,1,1,Lotus,1,0,43.0,1,4,982942,2015911,19725115,100000
Rajasthan,CHITTORGARH,0,3,Hand,1,0,68.0,1,8,406695,2015911,4594912,0
Rajasthan,CHURU,1,1,Lotus,1,0,42.0,1,4,792999,2019104,36723865,15163379
Rajasthan,CHURU,0,3,Hand,1,3,58.0,1,6,458597,2019104,582281544,464721999
Rajasthan,CHURU,0,8,"Hammer, Sickle and Star",1,12,41.0,1,8,25090,2019104,3668789,1415622
Rajasthan,CHURU,0,4,Elephant,1,0,57.0,1,1,16116,2019104,18103000,795000
Tamil Nadu,COIMBATORE,1,8,"Hammer, Sickle and Star",1,1,68.0,1,1,571150,1958904,20284430,3234168
Tamil Nadu,COIMBATORE,0,1,Lotus,1,0,61.0,1,4,392007,1958904,671140166,23686000
Tamil Nadu,COIMBATORE,0,28,Battery Torch,1,0,55.0,1,2,145104,1958904,1333052340,115756111
Tamil Nadu,COIMBATORE,0,27,Ganna Kisan,1,0,36.0,1,2,60519,1958904,855083,0
Tamil Nadu,COIMBATORE,0,18,Gift Pack,1,3,68.0,1,1,38061,1958904,300815900,3555000
West Bengal,COOCH BEHAR,1,1,Lotus,1,11,33.0,2,7,731594,1814200,9629810,0
West Bengal,COOCH BEHAR,0,10,Flowers and Grass,1,0,66.0,2,1,677363,1814200,41775148,4120964
West Bengal,COOCH BEHAR,0,48,Lion,1,2,61.0,2,2,46810,1814200,4644800,400000
West Bengal,COOCH BEHAR,0,3,Hand,2,0,38.0,2,2,28215,1814200,7263933,547297
Tamil Nadu,CUDDALORE,1,25,Rising Sun,1,0,48.0,1,8,522160,1364038,423378552,102828604
Tamil Nadu,CUDDALORE,0,26,Mango,1,1,69.0,1,2,378177,1364038,254147934,1065600
Tamil Nadu,CUDDALORE,0,18,Gift Pack,1,0,49.0,1,6,44892,1364038,10008914,1700000
Tamil Nadu,CUDDALORE,0,27,Ganna Kisan,2,0,40.0,1,4,34692,1364038,640737,0
Tamil Nadu,CUDDALORE,0,28,Battery Torch,1,0,44.0,1,2,23713,1364038,88267747,0
Odisha,CUTTACK,1,37,Conch,1,0,62.0,1,2,524592,1518996,106894976,0
Odisha,CUTTACK,0,1,Lotus,1,0,63.0,1,2,403391,1518996,93102541,0
Odisha,CUTTACK,0,3,Hand,1,1,67.0,1,2,99847,1518996,8739577,152000
Dadra & Nagar Haveli,DADRA AND NAGAR HAVELI,1,18,Batsman,1,0,56.0,3,4,90421,250029,708885980,37268162
Dadra & Nagar Haveli,DADRA AND NAGAR HAVELI,0,1,Lotus,1,6,46.0,3,11,81420,250029,496942663,215617501
Dadra & Nagar Haveli,DADRA AND NAGAR HAVELI,0,3,Hand,1,1,40.0,3,1,8608,250029,5430633,0
Dadra & Nagar Haveli,DADRA AND NAGAR HAVELI,0,19,Bow & Arrow,2,0,35.0,3,8,4000,250029,46486347,12206998
Dadra & Nagar Haveli,DADRA AND NAGAR HAVELI,0,18,Throwing a Javelin,1,0,33.0,3,4,3630,250029,20095,0
Dadra & Nagar Haveli,DADRA AND NAGAR HAVELI,0,18,Helicopter,1,0,31.0,3,1,2287,250029,168959,84060
Gujarat,DAHOD,1,1,Lotus,1,0,52.0,3,8,561760,1598939,27070480,0
Gujarat,DAHOD,0,3,Hand,1,1,58.0,3,4,434164,1598939,48020539,2490502
Gujarat,DAHOD,0,4,Elephant,1,0,64.0,3,6,11339,1598939,71845,0
Gujarat,DAHOD,0,18,Boat with Man and Sail,1,0,51.0,3,8,11142,1598939,0,0
Karnataka,DAKSHINA KANNADA,1,1,Lotus,1,4,52.0,1,6,774285,1724976,14678300,4450945
