STATE,CONSTITUENCY,WINNER,PARTY,SYMBOL,GENDER,CRIMINAL CASES,AGE,CATEGORY,EDUCATION,TOTAL VOTES,TOTAL ELECTORS,ASSETS,LIABILITIES
Maharashtra,AMRAVATI,0,19,Bow and Arrow,1,2,71.0,2,4,473996,1833091,44015877,8545894
Maharashtra,AMRAVATI,0,6,Whistle,1,2,47.0,2,5,65135,1833091,351944996,79139288
Maharashtra,AMRAVATI,0,4,Elephant,1,3,56.0,2,1,12336,1833091,338097138,6600000
Gujarat,AMRELI,1,1,Lotus,1,0,64.0,1,1,529035,1628451,35900763,828961
Gujarat,AMRELI,0,3,Hand,1,0,42.0,1,4,327604,1628451,14342991,0
Gujarat,AMRELI,0,4,Elephant,1,0,47.0,2,9,9691,1628451,133189,0
Punjab,AMRITSAR,1,3,Hand,1,0,46.0,1,1,445032,1507875,34011739,9031565
Punjab,AMRITSAR,0,1,Lotus,1,0,67.0,1,2,345406,1507875,340505737,57940950
Punjab,AMRITSAR,0,20,Broom,1,0,58.0,1,6,20087,1507875,14878922,2789687
Punjab,AMRITSAR,0,8,Ears of Corn And Sickle,2,0,55.0,1,4,16335,1507875,661000,0
Uttar Pradesh,AMROHA,1,4,Elephant,1,0,43.0,1,4,601082,1646435,74920879,19579691
Uttar Pradesh,AMROHA,0,1,Lotus,1,0,58.0,1,7,537834,1646435,1821251171,10700504
Uttar Pradesh,AMROHA,0,3,Hand,1,0,35.0,1,1,12510,1646435,27003125,12293421
Andhra Pradesh,ANAKAPALLI,1,13,Ceiling Fan,2,0,52.0,1,8,586226,1521363,91526244,11139279
Andhra Pradesh,ANAKAPALLI,0,14,Bicycle,1,0,43.0,1,6,497034,1521363,410547212,205591400
Andhra Pradesh,ANAKAPALLI,0,15,Glass Tumbler,1,0,56.0,1,2,82588,1521363,335308506,110928567
Andhra Pradesh,ANAKAPALLI,0,1,Lotus,1,0,65.0,1,2,13276,1521363,57688924,9497894
Gujarat,ANAND,1,1,Lotus,1,2,54.0,1,5,633097,1655870,77043053,7810840
Gujarat,ANAND,0,3,Hand,1,0,65.0,1,8,435379,1655870,54490955,1934855
Punjab,ANANDPUR SAHIB,1,3,Hand,1,0,53.0,1,8,428045,1698876,154637860,0
Punjab,ANANDPUR SAHIB,0,21,Scales,1,1,69.0,1,2,381161,1698876,126971695,0
Punjab,ANANDPUR SAHIB,0,4,Elephant,1,0,62.0,1,4,146441,1698876,1408265156,3400824
Punjab,ANANDPUR SAHIB,0,20,Broom,1,1,51.0,1,2,53052,1698876,255712677,23667368
Andhra Pradesh,ANANTAPUR,1,13,Ceiling Fan,1,2,48.0,1,3,695208,1664160,11773091,1135547
Andhra Pradesh,ANANTAPUR,0,14,Bicycle,1,0,45.0,1,4,553780,1664160,373887429,84550726
Andhra Pradesh,ANANTAPUR,0,3,Hand,1,0,29.0,1,8,30079,1664160,7264263,1700000
Andhra Pradesh,ANANTAPUR,0,8,Ears of Corn And Sickle,1,9,58.0,1,7,20294,1664160,25613277,2761973
Jammu & Kashmir,ANANTNAG,1,22,Plough,1,0,65.0,1,2,40180,1397779,87620672,0
Jammu & Kashmir,ANANTNAG,0,3,Hand,1,0,60.0,1,4,33504,1397779,140146018,0
Jammu & Kashmir,ANANTNAG,0,23,Ink Pot & Pen,2,1,59.0,1,8,30524,1397779,8903857,0
Jammu & Kashmir,ANANTNAG,0,1,Lotus,1,1,53.0,1,10,10225,1397779,11710000,0
Jammu & Kashmir,ANANTNAG,0,24,Apple,1,0,60.0,3,7,1646,1397779,23265829,202000
Jammu & Kashmir,ANANTNAG,0,18,Table,1,0,45.0,1,1,1369,1397779,31000,0
Andaman & Nicobar Islands,ANDAMAN & NICOBAR ISLANDS,1,3,Hand,1,0,52.0,1,8,95308,318471,132233012,80450870
Andaman & Nicobar Islands,ANDAMAN & NICOBAR ISLANDS,0,1,Lotus,1,1,46.0,1,8,93901,318471,85140573,4633914
Andaman & Nicobar Islands,ANDAMAN & NICOBAR ISLANDS,0,18,Helicopter,1,0,61.0,1,2,5341,318471,19916000,1311000
Andaman & Nicobar Islands,ANDAMAN & NICOBAR ISLANDS,0,20,Broom,1,0,49.0,1,1,2839,318471,99887782,1791076
Andaman & Nicobar Islands,ANDAMAN & NICOBAR ISLANDS,0,4,Elephant,1,0,43.0,2,2,2486,318471,1250000,240000
Uttar Pradesh,AONLA,1,1,Lotus,1,0,50.0,1,6,537675,1785605,21766502,3324300
Uttar Pradesh,AONLA,0,4,Elephant,2,1,57.0,1,4,423932,1785605,241164456,2100000
Uttar Pradesh,AONLA,0,3,Hand,1,0,64.0,1,8,62548,1785605,41189445,0
Tamil Nadu,ARAKKONAM,1,25,Rising Sun,1,2,71.0,1,6,672190,1500016,1146984897,166365972
Tamil Nadu,ARAKKONAM,0,26,Mango,1,6,55.0,1,2,343234,1500016,46023417,7710578
Tamil Nadu,ARAKKONAM,0,18,Gift Pack,1,0,43.0,1,7,66826,1500016,133000,0
Tamil Nadu,ARAKKONAM,0,27,Ganna Kisan,1,0,40.0,1,2,29347,1500016,3520000,0
Tamil Nadu,ARAKKONAM,0,28,Battery Torch,1,0,61.0,1,2,23771,1500016,10961100,0
West Bengal,ARAMBAGH,1,10,Flowers and Grass,2,1,33.0,2,2,649929,1764726,12527597,4244000
West Bengal,ARAMBAGH,0,1,Lotus,1,1,55.0,2,2,648787,1764726,2014593,1875000
West Bengal,ARAMBAGH,0,8,"Hammer, Sickle and Star",1,2,59.0,2,2,100520,1764726,10448352,17324
West Bengal,ARAMBAGH,0,3,Hand,2,0,41.0,2,4,25128,1764726,12069004,2996520
Tamil Nadu,ARANI,1,3,Hand,1,1,46.0,1,8,617760,1449150,234564815,33409505
Tamil Nadu,ARANI,0,29,Two Leaves,1,0,63.0,1,8,386954,1449150,111158268,1884554
Tamil Nadu,ARANI,0,18,Gift Pack,1,0,55.0,1,2,46383,1449150,22006894,11328495
Tamil Nadu,ARANI,0,27,Ganna Kisan,2,0,37.0,1,2,32409,1449150,2934243,0
